Electrode,X,Y,Z,Brain_Region
LPF1,-19.2,-25.3,74.6,precentral
LPF2,-25.3,-17.5,75.9,precentral
LPF3,-29.8,-11.5,68.8,precentral
LPF4,-33.0,-4.4,64.9,precentral
LPF5,-39.3,3.2,58.1,caudalmiddlefrontal
LPF6,-42.1,11.1,51.6,caudalmiddlefrontal
LAF1,-22.7,61.9,-25.5,lateralorbitofrontal
LAF2,-34.9,60.2,-22.8,rostralmiddlefrontal
LAF3,-44.3,59.7,-13.5,rostralmiddlefrontal
LAF4,-51.7,51.1,-5.6,rostralmiddlefrontal
LAF5,-56.6,43.4,3.9,rostralmiddlefrontal
LAF6,-57.1,37.7,13.7,rostralmiddlefrontal
LIF1,-23.8,55.7,-26.9,lateralorbitofrontal
LIF2,-29.4,45.7,-29.5,lateralorbitofrontal
LIF3,-37.4,38.7,-28.6,parsorbitalis
LIF4,-46.8,33.1,-25.2,parsorbitalis
LIF5,-55.2,27.0,-18.6,parsorbitalis
LIF6,-59.8,24.0,-5.4,parstriangularis
LAT1,-31.5,19.8,-50.6,temporalpole
LAT2,-41.2,22.1,-48.1,temporalpole
LAT3,-53.0,16.0,-45.8,temporalpole
LAT4,-58.2,9.1,-42.5,middletemporal
LMT1,-20.9,-23.6,-22.7,parahippocampal
LMT2,-27.4,-18.9,-34.0,parahippocampal
LMT3,-36.5,-19.0,-41.0,parahippocampal
LMT4,-48.4,-17.1,-43.0,inferiortemporal
LPT1,-38.2,-62.4,-31.4,fusiform
LPT2,-39.9,-50.8,-32.4,inferiortemporal
LPT3,-47.5,-40.1,-34.2,inferiortemporal
LPT4,-52.6,-30.6,-36.3,inferiortemporal
LDA1,-17.8,-3.3,-19.7,unknown
LDA2,-22.2,-2.6,-21.7,unknown
LDA3,-26.7,-3.0,-23.6,unknown
LDA4,-32.1,-3.4,-27.8,unknown
LDH1,-25.7,-15.2,-16.4,unknown
LDH2,-31.2,-13.9,-18.5,unknown
LDH3,-37.2,-13.3,-19.7,unknown
LDH4,-41.7,-12.8,-21.2,unknown
RPF3,36.8,-14.0,66.6,precentral
RPF4,39.6,-3.4,61.5,precentral
RPF5,45.0,2.6,52.9,caudalmiddlefrontal
RPF6,48.3,11.0,45.1,caudalmiddlefrontal
RAF1,7.5,65.6,-26.2,frontalpole
RAF2,14.8,69.7,-17.5,frontalpole
RAF3,25.2,69.0,-10.7,rostralmiddlefrontal
RAF4,36.4,64.8,-3.6,rostralmiddlefrontal
RAF5,43.7,61.1,5.2,rostralmiddlefrontal
RAF6,46.7,52.3,15.1,rostralmiddlefrontal
RIF1,22.2,45.3,-33.0,lateralorbitofrontal
RIF2,30.9,41.9,-30.0,lateralorbitofrontal
RIF3,41.3,36.8,-27.4,parsorbitalis
RIF4,50.6,32.3,-23.9,parsorbitalis
RIF5,59.0,32.5,-14.0,parstriangularis
RIF6,62.4,28.3,0.9,parstriangularis
RAT1,35.0,17.2,-48.2,temporalpole
RAT2,39.3,12.6,-49.8,inferiortemporal
RAT3,51.0,8.1,-46.9,middletemporal
RAT4,60.0,0.4,-44.2,middletemporal
RMT1,45.5,-57.9,-24.1,fusiform
RMT2,46.8,-47.4,-26.7,fusiform
RMT3,58.4,-54.5,-23.9,inferiortemporal
RMT4,63.5,-46.8,-27.5,middletemporal
RPT1,56.5,-69.9,-18.1,inferiortemporal
RPT2,59.7,-62.4,-19.8,inferiortemporal
RPT3,67.5,-53.7,-23.9,middletemporal
RPT4,68.3,-46.7,-27.1,middletemporal
RDA1,19.8,-2.5,-31.3,unknown
RDA2,23.6,-4.4,-28.7,unknown
RDA3,29.3,-5.9,-26.1,unknown
RDA4,37.3,-7.0,-28.5,unknown
RDH1,21.8,-18.6,-26.9,unknown
RDH2,25.8,-16.9,-26.8,unknown
RDH3,30.6,-15.6,-24.6,unknown
RDH4,36.3,-18.5,-27.8,unknown
