Electrode,X,Y,Z,Brain_Region
LG1,-18.2,48.5,46.3,superiorfrontal
LG2,-20.1,40.6,51.8,superiorfrontal
LG3,-22.5,31.3,55.0,superiorfrontal
LG4,-24.7,21.0,60.8,superiorfrontal
LG5,-32.6,7.1,62.9,caudalmiddlefrontal
LG6,-36.7,-3.6,63.7,superiorfrontal
LG7,-36.5,-18.4,68.1,precentral
LG8,-39.6,-31.6,67.0,precentral
LG9,-27.5,48.9,37.5,rostralmiddlefrontal
LG10,-26.5,39.2,46.6,superiorfrontal
LG11,-33.5,28.5,50.2,caudalmiddlefrontal
LG12,-34.8,20.9,54.8,caudalmiddlefrontal
LG13,-41.9,9.1,54.3,caudalmiddlefrontal
LG14,-44.0,-3.0,57.5,caudalmiddlefrontal
LG15,-47.3,-15.3,59.9,precentral
LG16,-48.0,-24.7,60.6,postcentral
LG17,-42.6,57.5,-5.6,rostralmiddlefrontal
LG18,-47.1,52.4,3.5,rostralmiddlefrontal
LG19,-50.4,44.9,13.0,rostralmiddlefrontal
LG20,-47.9,38.2,23.8,rostralmiddlefrontal
LG21,-49.0,28.7,33.6,rostralmiddlefrontal
LG22,-49.1,22.8,40.1,rostralmiddlefrontal
LG23,-48.5,14.1,44.5,caudalmiddlefrontal
LG24,-48.9,6.3,48.9,caudalmiddlefrontal
LG25,-44.1,52.5,-16.1,parsorbitalis
LG26,-49.6,48.6,-6.8,parsorbitalis
LG27,-54.9,42.6,4.7,parstriangularis
LG28,-55.7,33.2,13.7,parstriangularis
LG29,-58.0,23.2,22.2,parsopercularis
LG30,-52.6,16.1,37.5,rostralmiddlefrontal
LG31,-54.9,9.2,39.8,precentral
LG32,-54.8,3.3,44.4,precentral
LG33,-45.2,26.1,-28.1,temporalpole
LG34,-54.1,23.0,-17.9,superiortemporal
LG35,-58.7,18.0,-9.3,parsopercularis
LG36,-61.0,9.7,-2.9,parsopercularis
LG37,-65.4,7.4,9.5,precentral
LG38,-65.7,2.5,18.1,postcentral
LG39,-65.8,-7.4,26.1,postcentral
LG40,-65.3,-15.8,28.7,supramarginal
LG41,-49.0,22.1,-33.4,temporalpole
LG42,-55.1,17.6,-25.0,middletemporal
LG43,-58.5,12.1,-17.0,superiortemporal
LG44,-63.6,2.6,-8.8,superiortemporal
LG45,-66.3,0.8,1.6,superiortemporal
LG46,-67.0,-4.5,7.6,postcentral
LG47,-68.4,-15.1,13.8,postcentral
LG48,-69.0,-22.3,22.0,supramarginal
LG49,-62.9,-4.7,-27.1,middletemporal
LG50,-67.3,-8.9,-20.2,middletemporal
LG51,-66.7,-7.2,-10.9,superiortemporal
LG52,-69.0,-12.6,3.9,superiortemporal
LG53,-68.8,-17.1,10.4,postcentral
LG54,-68.9,-22.9,20.5,supramarginal
LG55,-65.0,-28.5,37.3,supramarginal
LG56,-57.3,-28.2,46.8,supramarginal
LG57,-58.8,-14.2,-31.2,inferiortemporal
LG58,-67.2,-18.6,-24.9,inferiortemporal
LG59,-70.6,-19.3,-13.4,superiortemporal
LG60,-71.4,-24.6,-1.4,superiortemporal
LG61,-70.3,-28.4,7.0,superiortemporal
LG62,-67.2,-31.8,22.9,supramarginal
LG63,-65.8,-34.9,32.9,supramarginal
LG64,0.0,0.0,nan,supramarginal
SF1,-14.6,69.5,-10.5,rostralmiddlefrontal
SF2,-17.8,62.5,-19.8,rostralmiddlefrontal
SF3,-36.1,59.8,10.1,rostralmiddlefrontal
SF4,-40.0,57.1,7.7,rostralmiddlefrontal
MF1,-14.8,65.2,-17.5,rostralmiddlefrontal
MF2,-23.2,61.9,-17.9,rostralmiddlefrontal
MF3,-30.9,60.2,-15.7,rostralmiddlefrontal
MF4,-38.7,61.0,-7.2,rostralmiddlefrontal
MF5,-46.6,54.2,1.5,rostralmiddlefrontal
MF6,-50.4,45.7,8.9,rostralmiddlefrontal
IF1,-14.6,54.8,-23.1,lateralorbitofrontal
IF2,-20.2,44.5,-23.5,lateralorbitofrontal
IF3,-27.0,38.5,-25.1,lateralorbitofrontal
IF4,-37.1,30.9,-24.5,parsorbitalis
IF5,-48.5,27.4,-21.5,lateralorbitofrontal
IF6,-56.3,20.9,-9.3,parstriangularis
DA1,-17.8,-11.1,-14.2,unknown
DA2,-22.1,-10.3,-14.6,unknown
DA3,-27.4,-8.0,-16.0,unknown
DA4,-32.0,-7.3,-19.4,unknown
DH1,-26.2,-21.7,-9.8,unknown
DH2,-31.1,-19.9,-13.2,unknown
DH3,-36.5,-18.6,-13.8,unknown
DH4,-40.5,-17.0,-14.7,superiortemporal
AT1,-48.1,-25.8,-34.3,inferiortemporal
AT2,-46.1,-16.8,-39.5,inferiortemporal
AT3,-53.0,-6.2,-38.8,inferiortemporal
AT4,-57.9,2.2,-37.7,middletemporal
MT1,-41.5,-57.7,-24.1,fusiform
MT2,-50.1,-47.5,-28.3,fusiform
MT3,-56.2,-37.7,-32.4,inferiortemporal
MT4,-66.2,-32.0,-26.4,inferiortemporal
PT1,-50.1,-79.2,-12.7,lateraloccipital
PT2,-55.3,-70.9,-9.1,inferiortemporal
PT3,-63.1,-60.4,-5.4,middletemporal
PT4,-66.9,-47.7,-2.7,middletemporal
